content,tips,lesson,translation,mask
"ばしょ（場所）","","4","［名］ 所在地，地方，场所","場所"
"きょうしつ（教室）","","4","［名］ 教室","教室"
"かいぎしつ（会議室）","","4","［名］ 会议室","会議室"
"としょしつ（図書室）","","4","［名］ 图书室","図書室"
"こうえん（公園）","","4","［名］ 公园","公園"
"はなや（花屋）","","4","［名］ 花店","花屋"
"ばいてん（売店）","","4","［名］ 小卖部，售货亭","売店"
"えき（駅）","","4","［名］ 车站","駅"
"ちかてつ（地下鉄）","","4","［名］ 地铁","地下鉄"
"き（木）","","4","［名］ 树，树木","木"
"ひとりぐらし（一人暮らし）","","4","［名］ 单身生活","一人暮らし"
"あります","","4","［动1］ 有，在（非意志者）","あります"
"います","","4","［动2］ 有，在（具意志者）","います"
"ええと","","4","［叹］ 啊，嗯","ええと"
"よこはま（横浜）","","4","［专］ 横滨","横浜"
"なごや（名古屋）","","4","［专］ 名古屋","名古屋"
"おおさか（大阪）","","4","［专］ 大阪","大阪"
"ジェーアール（ＪＲ）","","4","［专］ JR","ＪＲ"
"いま（今）","","5","［名］ 现在","今"
"せんしゅう（先週）","","5","［名］ 上个星期","先週"
"らいしゅう（来週）","","5","［名］ 下个星期","来週"
"さらいしゅう（さ来週）","","5","［名］ 下下个星期","さ来週"
"こんしゅう（今週）","","5","［名］ 这个星期","今週"
"きのう（昨日）","","5","［名］ 昨天","昨日"
"あした（明日）","","5","［名］ 明天","明日"
"あさって","","5","［名］ 后天","あさって"
"おととい","","5","［名］ 前天","おととい"
"まいにち（毎日）","","5","［名］ 每天，每日","毎日"
"まいあさ（毎朝）","","5","［名］ 每天早晨","毎朝"
"まいばん（毎晩）","","5","［名］ 每天晚上","毎晩"
"まいしゅう（毎週）","","5","［名］ 每个星期","毎週"
"ごぜん（午前）","","5","［名］ 上午","午前"
"エーエム（am）","","5","［名］ 上午","am"
"ごご（午後）","","5","［名］ 下午","ごご（午後）"
"ピーエム（pm）","","5","［名］ 下午","pm"
"にちようび（日曜日）","","5","［名］ 星期日","日曜日"
"げつようび（月曜日）","","5","［名］ 星期一","月曜日"
"かようび（火曜日）","","5","［名］ 星期二","火曜日"
"きんようび（金曜日）","","5","［名］ 星期五","金曜日"
"どようび（土曜日）","","5","［名］ 星期六","土曜日"
"けさ（今朝）","","5","［名］ 今天早晨","今朝"
"こんばん（今晩）","","5","［名］ 今天晚上","今晩"
"らいねん（来年）","","5","［名］ 明年","来年"
"きょねん（去年）","","5","［名］ 去年","去年"
"よる（夜）","","5","［名］ 晚上，夜里，夜晚","夜"
"ばん（晩）","","5","［名］ 晚上","晩"
"あさ（朝）","","5","［名］ 早晨","朝"
"がっこう（学校）","","5","［名］ 学校","学校"
"しけん（試験）","","5","［名］ 考试","試験"
"しごと（仕事）","","5","［名］ 工作","仕事"
